"Country","PrEP_users","Sample_size"
"AM",3,51
"AT",212,1041
"AZ",16,297
"BA",4,89
"BE",271,939
"BG",10,202
"CH",397,1463
"CY",10,186
"CZ",106,988
"DE",2635,10450
"DK",116,407
"EE",13,155
"EL",26,922
"ES",799,3960
"FI",151,1028
"FR",1098,3491
"GE",33,165
"HR",32,359
"HU",38,805
"IE",173,850
"IL",87,372
"IT",539,3620
"KZ",46,584
"LT",11,118
"LU",41,127
"LV",18,178
"MD",34,153
"MK",7,71
"MT",26,202
"NL",353,1382
"NO",322,2136
"PL",132,1274
"PT",271,1931
"RO",46,718
"RS",23,312
"RU",52,1849
"SE",291,2474
"SI",33,251
"SK",20,430
"TR",6,392
"UA",127,1049
"UK",612,1771
