"country_code","country_name","population","sexually_active_population","isEU"
"AT","Austria",9130377,3948754,1
"BE","Belgium",11712845,5086180,1
"BG","Bulgaria",6795757,2917809,1
"CY","Cyprus",1344925,698938,1
"CZ","Czechia",10809667,4865266,1
"DE","Germany",84548184,34295117,1
"DK","Denmark",5948089,2603575,1
"EE","Estonia",1367144,598433,1
"EL","Greece",10242868,4235752,1
"ES","Spain",47911525,20913108,1
"FI","Finland",5601137,2392319,1
"FR","France",66438772,28014473,1
"HR","Croatia",3895969,1625191,1
"HU","Hungary",9686411,4398501,1
"IE","Ireland",5196580,2456567,1
"IS","Iceland",387510,191922,0
"IT","Italy",59499402,23968178,1
"LI","Liechtenstein",39548,16672,0
"LT","Lithuania",2854051,1251335,1
"LU","Luxembourg",665044,326955,1
"LV","Latvia",1882350,794210,1
"MT","Malta",532912,265323,1
"NL","Netherlands",18092469,7921095,1
"NO","Norway",5519117,2526347,0
"PL","Poland",38762791,18192959,1
"PT","Portugal",10430692,4327669,1
"RO","Romania",19118422,8444257,1
"SE","Sweden",10551444,4637773,1
"SI","Slovenia",2118343,905642,1
"SK","Slovakia",5518006,2578715,1
